"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Alvin Kamara",NO,"RB3","6","2 out of 5 stars","+1"
"4",1,"Derrick Henry",TEN,"RB4","13","3 out of 5 stars","-1"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Aaron Jones",GB,"RB6","13","0 out of 5 stars","+1"
"7",1,"Davante Adams",GB,"WR1","13","1 out of 5 stars","+1"
"8",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","+3"
"9",2,"Saquon Barkley",NYG,"RB7","10","2 out of 5 stars","0"
"10",2,"Nick Chubb",CLE,"RB8","13","4 out of 5 stars","-4"
"11",2,"Jonathan Taylor",IND,"RB9","14","4 out of 5 stars","-1"
"12",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+2"
"13",2,"Austin Ekeler",LAC,"RB10","7","4 out of 5 stars","0"
"14",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-2"
"15",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+6"
"16",2,"DeAndre Hopkins",ARI,"WR5","12","2 out of 5 stars","+1"
"17",2,"Antonio Gibson",WAS,"RB11","9","3 out of 5 stars","-1"
"18",2,"Najee Harris",PIT,"RB12","7","5 out of 5 stars","-3"
"19",3,"D.K. Metcalf",SEA,"WR6","9","1 out of 5 stars","+1"
"20",3,"Joe Mixon",CIN,"RB13","10","3 out of 5 stars","-1"
"21",3,"Justin Jefferson",MIN,"WR7","7","3 out of 5 stars","+2"
"22",3,"A.J. Brown",TEN,"WR8","13","3 out of 5 stars","+3"
"23",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+1"
"24",3,"Keenan Allen",LAC,"WR9","7","3 out of 5 stars","+4"
"25",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-3"
"26",3,"Allen Robinson II",CHI,"WR10","10","3 out of 5 stars","+6"
"27",3,"Terry McLaurin",WAS,"WR11","9","3 out of 5 stars","+3"
"28",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"29",3,"Chris Carson",SEA,"RB15","9","1 out of 5 stars","0"
"30",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+4"
"31",3,"David Montgomery",CHI,"RB16","10","3 out of 5 stars","-4"
"32",3,"D'Andre Swift",DET,"RB17","9","0 out of 5 stars","+3"
"33",4,"James Robinson",JAC,"RB18","7","4 out of 5 stars","+5"
"34",4,"George Kittle",SF,"TE3","6","4 out of 5 stars","-8"
"35",4,"Robert Woods",LAR,"WR13","11","5 out of 5 stars","+6"
"36",4,"Mike Evans",TB,"WR14","9","2 out of 5 stars","0"
"37",4,"Chris Godwin",TB,"WR15","9","2 out of 5 stars","+3"
"38",4,"Amari Cooper",DAL,"WR16","7","1 out of 5 stars","+4"
"39",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-2"
"40",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-9"
"41",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","+2"
"42",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+11"
"43",4,"Cooper Kupp",LAR,"WR19","11","5 out of 5 stars","+1"
"44",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","-11"
"45",4,"Tyler Lockett",SEA,"WR20","9","1 out of 5 stars","+3"
"46",4,"Diontae Johnson",PIT,"WR21","7","2 out of 5 stars","+9"
"47",4,"Gus Edwards",BAL,"RB21","8","4 out of 5 stars","+32"
"48",4,"Darrell Henderson",LAR,"RB22","11","4 out of 5 stars","-1"
"49",4,"Mike Davis",ATL,"RB23","6","2 out of 5 stars","+5"
"50",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-11"
"51",4,"Adam Thielen",MIN,"WR22","7","3 out of 5 stars","-1"
"52",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","0"
"53",4,"Kareem Hunt",CLE,"RB24","13","4 out of 5 stars","-2"
"54",4,"Myles Gaskin",MIA,"RB25","14","4 out of 5 stars","-5"
"55",4,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","+1"
"56",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-10"
"57",5,"Damien Harris",NE,"RB26","14","3 out of 5 stars","+9"
"58",5,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-13"
"59",5,"Tee Higgins",CIN,"WR23","10","2 out of 5 stars","+6"
"60",5,"Brandon Aiyuk",SF,"WR24","6","5 out of 5 stars","-1"
"61",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","+1"
"62",5,"Chase Edmonds",ARI,"RB28","12","3 out of 5 stars","+1"
"63",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-6"
